dept_name,emp_no,first_name,last_name,gender,birth_date,"years of service","Salaries in 2000"
Development,60858,Elgin,Foote,F,1955-04-10,14.8384,84676
"Human Resources",60860,Fuqing,Munch,M,1955-12-13,13.0384,82011
"Quality Management",60861,Masali,Marchesini,M,1952-09-28,10.0110,55828
Production,60863,Masako,Stemann,M,1956-05-19,14.8575,58398
Development,60865,Yuqun,Birge,M,1954-09-20,15.6192,91170
Marketing,60867,Tomoyuki,Kornyak,F,1952-09-07,12.7123,136594
"Human Resources",60870,Raimond,Mawatari,F,1956-05-18,10.2685,71413
Finance,60871,Mitchel,Matzel,F,1955-03-19,12.0301,68102
Production,60889,Charlene,Heemskerk,M,1952-09-29,11.8301,66329
Production,60890,Fun,Schnabel,F,1952-07-20,15.1836,45554
"Quality Management",60891,Mingzeng,DeMori,M,1954-10-10,13.8137,67091
Development,60894,Lein,Fendler,M,1952-10-15,12.7671,65343
Research,60901,Hatem,Velasco,F,1956-07-08,12.5781,60199
Production,60902,Dekang,Lung,M,1953-07-31,15.5123,40000
Sales,60904,Tomokazu,Gelosh,M,1952-04-25,15.4274,66796
Sales,60909,Mani,Bail,M,1956-08-04,13.8164,93694
Production,60911,Alejandra,Nitto,F,1956-09-26,14.5918,89370
Development,60912,Masasuke,Monarch,M,1954-11-20,11.6438,71274
"Quality Management",60920,Mara,Sundgren,M,1952-04-05,12.9151,62720
Production,60930,Larisa,Swiss,F,1953-07-14,12.9260,62688
Sales,60944,Renee,Pepe,M,1952-02-16,12.3671,94285
Production,60960,Chikara,Flowers,F,1954-09-06,14.0110,50494
Research,60961,Marla,DeMori,F,1956-05-08,15.0110,42624
Marketing,60962,Brewster,Gubsky,M,1956-11-03,15.0822,75370
Sales,60965,Conrado,Loncour,M,1953-11-13,13.5863,98060
Production,60966,Zhigen,Mandelberg,M,1956-05-15,11.4575,40000
Production,60972,Flemming,Litzkow,F,1953-07-12,10.9041,55885
Production,60981,Yuchang,Kalorkoti,F,1955-04-16,14.5836,94504
Production,60986,Barton,Snyers,F,1956-06-13,13.8932,144248
Production,60987,Dzung,Kitai,F,1954-07-04,9.2164,69339
Sales,60991,Ung,Murthy,F,1955-05-02,15.5178,95832
"Human Resources",60998,Neelam,Norsworthy,F,1952-04-19,15.2219,98782
Sales,61002,Kaijung,Kolvik,F,1956-06-21,9.9205,98740
Production,61006,Garnik,Schonegge,F,1955-02-26,14.6575,179788
Marketing,61015,Fun,Atrawala,F,1954-04-08,15.3370,83595
Development,61016,Shim,Kushner,M,1956-03-26,10.4219,100216
Sales,61018,Marco,Zallocco,M,1954-05-26,13.5644,62199
"Quality Management",61020,Weidon,Gonthier,M,1956-02-27,12.3233,52945
Production,61021,Shahab,Baar,F,1954-09-24,13.4740,69457
"Customer Service",61025,Sailaja,Kuszyk,F,1955-07-20,9.3507,59973
Production,61033,Stevo,Barreiro,M,1954-07-25,10.1507,126796
Sales,61034,Zita,Juneja,M,1953-09-02,11.9479,87630
Production,61036,Shimshon,Nergos,F,1956-11-12,15.0274,125244
Development,61038,Suzette,Sifakis,M,1955-04-30,15.6192,90387
"Customer Service",61041,Ute,Millington,F,1956-11-20,13.8055,74936
Marketing,61044,Jordanka,Angiulli,M,1955-09-07,11.0685,65067
Finance,61045,Bedir,Poujol,F,1954-03-25,13.5342,74472
"Customer Service",61052,Shaowen,Flowers,M,1952-03-19,9.2247,41139
Development,61053,Gaetan,Dratva,F,1956-10-23,10.1014,112246
Development,61062,Parke,Champarnaud,M,1954-07-02,15.8000,70897
Development,61065,Mohan,Falck,M,1956-06-17,15.2630,83021
Production,61071,Filipp,Tanemo,M,1955-12-29,13.1699,173396
Development,61078,Jessie,Greibach,M,1953-06-17,12.5205,59998
Finance,61080,Sham,Roisin,F,1952-12-21,9.8822,178200
Production,61086,Sahrah,Gischer,F,1953-12-28,9.2712,42555
Development,61093,Kokou,Rettelbach,M,1955-03-21,15.6740,88760
Development,61097,Kwangjo,Trelles,M,1956-04-04,14.2082,78469
Sales,61100,Mokhtar,Willoner,M,1956-11-21,14.7726,184176
Research,61103,Kish,Bellone,M,1953-09-12,10.0137,46647
Production,61107,Guther,Bail,F,1954-01-15,9.0630,59245
Production,61108,Gadiel,Gihr,F,1954-06-17,11.2932,73861
Marketing,61109,Mihalis,Ranon,M,1955-02-16,9.7233,67976
Production,61110,Lihong,Ghemri,F,1953-04-01,15.8082,162138
Research,61114,Irena,Bardell,F,1955-08-31,14.2877,60563
Development,61118,King,Erol,F,1954-02-07,15.7260,90796
Production,61119,Anyuan,Koshiba,M,1955-03-29,13.8301,83392
Sales,61124,Nechama,Waymire,F,1954-12-24,15.0055,117419
Development,61131,Sampalli,Krybus,F,1957-01-05,9.6219,58854
Production,61139,Zsolt,Emiris,M,1952-06-25,10.4630,97914
"Human Resources",61149,Aemilian,Stranks,M,1953-05-29,13.9233,83584
Finance,61150,Mabo,Servieres,M,1955-04-17,11.5342,83663
Sales,61157,Shim,McConalogue,F,1954-02-25,9.3644,114808
"Customer Service",61167,Zhigen,Weedon,M,1956-05-27,12.4740,43284
Development,61177,Somnath,Bednarek,M,1953-01-30,13.8274,74671
Sales,61179,Berni,Kaltofen,F,1952-10-01,12.0192,84946
Development,61180,Nathalie,Sullins,F,1952-08-25,12.5425,73869
Production,61181,Fumitaka,Itschner,F,1954-03-23,10.4137,61404
Marketing,61185,Aria,Zielinski,M,1956-09-05,10.6740,198928
Marketing,61188,Lubomir,Kavraki,F,1955-08-27,11.7534,78785
Development,61190,Aria,Impagliazzo,F,1952-07-22,11.5151,50844
Sales,61191,Zhenhua,Aseltine,F,1957-01-06,15.1096,106469
Development,61192,Feiyu,Kamble,M,1952-11-02,13.8795,62664
Development,61197,Roselyn,Cannard,F,1953-04-05,14.5890,74483
Development,61203,Demin,Beznosov,F,1954-11-17,14.0219,40000
Development,61207,Mohua,Fraisse,M,1955-09-05,9.9863,50794
Development,61208,Miomir,Hooghiemstra,F,1953-02-20,12.8877,63238
Sales,61210,Itzchak,Rehfuss,M,1952-06-29,15.5644,72913
Development,61211,Lakshmi,Muntz,M,1954-01-15,13.6329,58731
Finance,61214,JoAnne,Peac,F,1952-10-24,14.4411,47194
Development,61218,Gou,Detkin,F,1956-05-02,10.8301,54321
Sales,61219,Chuanyi,Aamodt,M,1952-08-08,9.8438,71156
Production,61220,Arvind,Mahnke,F,1955-12-17,11.5616,56308
Sales,61229,Shiv,Herber,M,1956-11-02,10.7479,88691
Marketing,61234,King,Kitsuregawa,M,1956-12-26,12.5726,45055
Finance,61238,Kagan,Schach,M,1953-12-05,15.8849,89261
Marketing,61244,Xiaoqiang,Peternell,M,1955-05-03,14.3726,93060
"Customer Service",61245,Neven,Kriebel,F,1956-11-03,13.5507,48412
"Quality Management",61256,Duro,Schaar,M,1952-09-05,13.5342,40000
Sales,61259,Shao,Puoti,M,1955-09-14,14.5973,73892
Sales,61261,Ziya,Pocchiola,M,1955-11-09,13.3315,85757
Sales,61264,Shuzo,Sethi,M,1955-09-04,13.1945,99128
Development,61268,Toshimi,Melton,M,1956-04-03,14.7644,61974
Sales,61273,Manohar,Hainaut,M,1954-08-08,13.9781,113848
Sales,61277,Koichi,Kakkar,M,1956-01-29,13.6493,87514
Sales,61280,Anyuan,Kushnir,M,1956-05-21,9.7014,91330
Development,61283,Siamak,Vidya,M,1956-01-28,15.5068,59948
"Customer Service",61287,Miyeon,Marrakchi,M,1955-04-09,9.1644,77787
"Human Resources",61288,Nevio,Hasenauer,F,1953-06-19,9.8356,42925
"Quality Management",61290,Lokesh,Junot,M,1956-04-03,10.4575,54330
Production,61292,Badri,Boguraev,F,1954-07-02,13.5890,142408
Finance,61295,Mang,Menhardt,F,1955-07-14,14.3315,69760
Marketing,61301,Nahla,Ghandeharizadeh,F,1954-11-18,12.6932,69224
Production,61306,Gro,Peot,F,1954-02-17,12.9397,61651
Development,61313,Rafael,Oskamp,M,1954-12-23,11.1863,41699
Sales,61315,Kwun,Kalloufi,F,1955-07-03,14.9945,105647
Production,61322,Dayanand,Mawatari,M,1955-03-13,13.4110,58634
Research,61327,Nigel,McAffer,F,1954-02-28,10.1945,51005
Sales,61334,Georgi,Winter,M,1956-11-25,9.1233,89303
Sales,61340,Lubomir,Waeselynck,M,1954-11-11,14.8411,76981
Development,61347,Aram,Gerteisen,M,1953-02-27,14.6521,132536
Development,61348,Val,Itzfeldt,F,1956-10-19,13.5096,61043
Production,61353,Hausi,Conde,F,1952-09-04,15.1945,95203
Sales,61359,Juichirou,Blokdijk,M,1956-09-17,13.7507,66942
Development,61362,Ayonca,Pietracaprina,F,1955-10-04,15.7288,74167
Production,61364,Gianluca,Casperson,F,1952-07-11,15.7534,68236
Production,61366,Gino,Lamparter,F,1953-07-02,11.2849,50187
Research,61370,Shahar,Candan,F,1955-09-21,14.9178,91829
Research,61371,Akeno,Yetto,F,1954-10-28,14.9890,70336
Development,61374,Taegyun,Christ,M,1953-07-28,12.4438,84211
Production,61376,Guttorm,Skrikant,F,1955-01-23,15.5041,76580
"Customer Service",61383,Candida,Jiang,M,1952-09-13,11.7781,57501
Sales,61389,Kristine,Trachtenberg,M,1952-11-14,10.9233,89046
Marketing,61396,Hairong,Nastansky,M,1956-08-09,10.2329,140396
Sales,61399,Unal,Chinen,M,1952-07-27,15.8000,94334
"Customer Service",61402,Gita,Byoun,M,1954-04-18,10.0192,70567
Sales,61410,Matt,Sinitsyn,F,1952-12-16,11.2192,103605
Development,61411,Subhash,Cappelli,M,1956-05-24,14.6685,40000
Production,61413,Berto,Trelles,F,1952-08-18,11.1096,54952
Finance,61415,Aamer,Schwartzbauer,M,1954-04-30,14.7068,86914
Development,61420,Sanjoy,Cunliffe,M,1952-04-03,12.3425,59423
Development,61433,Kazuhiko,Zhang,M,1956-06-28,14.2274,81195
Sales,61435,Cathie,Claffy,M,1953-12-14,9.1671,84476
Sales,61441,Yongqiao,Jayawardene,M,1954-09-03,14.9260,77482
Development,61444,Geoff,Kaiserswerth,F,1955-01-02,15.4329,63626
"Customer Service",61451,Temple,Segond,M,1957-01-01,15.3616,40000
Development,61453,Hyuncheol,Vanwelkenhuysen,F,1955-10-06,13.3260,57583
Production,61454,Doohun,Thisen,M,1956-10-02,13.7151,65421
Development,61455,Fumiyo,Kaiser,M,1956-08-26,12.0493,85346
Development,61458,Yongmao,Lundstrom,F,1956-11-27,10.9671,57332
Research,61460,Sanjoy,Rodham,F,1955-06-02,13.2877,79258
Production,61465,Sumant,Huttel,F,1955-10-24,14.1616,92604
Research,61469,Keiichiro,Smailagic,M,1957-01-08,14.3973,103648
Production,61478,Hauke,Feinberg,F,1953-07-04,11.6603,45008
Finance,61479,Theirry,Godskesen,M,1956-09-09,15.6247,72872
Sales,61486,Weiye,Bierman,F,1954-04-30,14.5452,92327
Production,61489,Guozhong,Spieker,F,1952-04-10,9.6740,45839
"Human Resources",61490,Shigehiro,Dayana,F,1953-02-13,14.7973,60829
Development,61495,Xinan,Improta,F,1955-02-07,9.6192,41905
Production,61496,Branimir,Benveniste,M,1956-07-18,14.4082,101134
Production,61504,Xuejun,Compeau,M,1956-03-18,12.1425,61798
Production,61510,Harngdar,Petereit,M,1953-07-13,11.1260,105329
Production,61511,Maha,Heping,F,1955-04-19,14.0164,96154
Sales,61515,Mats,Curless,M,1953-10-22,15.0027,99903
Production,61533,Marla,Guerreiro,F,1956-01-08,14.8027,62180
Finance,61537,Arto,Zuberek,M,1955-05-19,12.8082,95534
Marketing,61539,Morris,Ghandeharizadeh,M,1953-09-19,15.6849,93269
Production,61540,Jolita,Comte,M,1956-03-23,11.4877,55386
Production,61543,Gilbert,Itzigehl,F,1953-03-25,14.2411,68123
Production,61550,Jeanna,dAstous,M,1956-10-29,14.8795,74176
Development,61554,Tianruo,Steenbeek,F,1953-06-23,14.3589,40000
Research,61560,Selwyn,Miake,M,1954-08-04,11.5178,51788
"Quality Management",61568,Uno,Birta,M,1952-05-26,12.1178,59064
"Human Resources",61569,Bezalel,Slaats,M,1953-02-04,11.5151,61675
Production,61578,Temple,Taubenfeld,F,1954-10-25,15.7726,67139
Development,61579,Fumiko,Bierbaum,F,1952-04-27,9.9096,61985
Development,61580,Yoshimitsu,Merey,F,1956-02-10,13.2411,81371
Production,61587,Aral,Delgrange,M,1956-12-16,10.2740,75659
Sales,61588,Doohun,Byoun,M,1954-11-17,13.8849,69641
Development,61589,Chuanti,Demke,M,1955-08-30,14.2603,82385
Development,61593,Masaru,Cochrane,F,1953-04-03,13.6712,58846
Sales,61597,Adel,dAstous,M,1953-12-08,9.6603,90525
Production,61600,Kazuhisa,Schicker,M,1954-01-05,10.1945,109196
Research,61604,Demin,Chleq,F,1955-01-11,9.1452,42386
Development,61623,Xiaoqiu,Luce,F,1955-05-08,12.3507,51546
Development,61624,Doowon,Luef,F,1954-07-17,13.2411,71222
Development,61625,Shugo,Rajcani,M,1955-05-28,15.4411,67722
Sales,61626,Mohit,Dulay,F,1952-09-17,12.5014,70307
Production,61627,Uma,Beausoleil,M,1955-11-30,13.5096,49771
Development,61632,Roselyn,Melton,F,1955-02-18,9.1699,57214
Sales,61634,Shigehito,Panwar,M,1952-04-13,13.8712,94565
Sales,61642,Lucien,Murtha,M,1956-05-18,10.6000,118315
Research,61644,Toney,Ladret,M,1955-05-05,12.8164,76008
Sales,61647,Vidar,McClurg,F,1952-07-15,11.3342,85275
Production,61650,Vitaly,Linnainmaa,F,1955-07-23,12.3452,96114
Finance,61654,Maris,Clouatre,M,1954-05-23,14.9945,63909
Production,61663,Teruyuki,Atrawala,M,1954-06-27,10.3616,47056
Production,61666,Tesuro,Vasanthakumar,F,1954-06-20,14.8137,61737
Sales,61667,Domenico,Hasenauer,F,1955-11-03,13.8932,103471
Production,61668,Maia,Harbusch,M,1956-11-16,12.4986,61887
Marketing,61673,Krassimir,Krybus,M,1952-04-16,12.7342,89355
Development,61675,Takahiro,Schwartzburd,M,1952-10-06,12.3178,53902
Development,61676,Valdiodio,Argence,M,1952-05-24,15.1562,67366
Finance,61687,Ravishankar,Maraist,F,1952-06-29,14.0603,71133
Development,61691,Breannda,Pellegrinelli,M,1956-02-21,15.0301,43066
Development,61706,Stevo,Butner,F,1954-01-17,12.9123,86975
"Human Resources",61709,Holgard,Schaft,M,1953-07-22,13.2438,58829
Production,61711,Volkmar,Claffy,F,1952-06-15,12.6767,124252
"Customer Service",61712,Patricia,Kropatsch,M,1952-12-08,9.2603,57873
Development,61718,Yakichi,Poujol,M,1953-04-27,14.9479,62823
Development,61722,Oddvar,Wendorf,F,1952-02-14,15.7671,68138
"Human Resources",61731,Fun,Tramer,M,1953-09-02,10.5890,60132
Production,61732,Moie,Gini,M,1954-08-22,15.8301,72946
Production,61734,Wayne,Ginesta,M,1954-12-22,10.9836,67068
Development,61738,Martien,Zhiwei,F,1953-10-19,12.4384,89872
Finance,61740,Aloys,Pappas,M,1956-07-23,14.2301,78543
Sales,61751,IEEE,Garrabrants,M,1954-03-25,14.0795,124279
Development,61752,Masami,Yoshimura,F,1953-06-09,11.2712,51156
Development,61753,Pantung,Levergood,F,1954-10-15,14.5151,96489
"Human Resources",61755,Trygve,Eppinger,M,1953-12-29,14.6438,65590
Production,61759,Nevio,Farrar,M,1955-11-21,11.5808,84578
Finance,61761,Aamer,Feinberg,F,1953-11-25,15.3726,59075
Development,61763,Dharmaraja,Fandrianto,M,1955-04-10,9.0466,50602
Production,61767,Niteen,Luke,F,1955-03-26,10.3205,49309
Sales,61776,Stafford,dAstous,M,1953-03-09,12.0082,75620
Development,61780,Zhilian,Billingsley,M,1952-11-01,15.3699,66673
"Quality Management",61782,Guadalupe,Piancastelli,M,1953-05-21,15.3370,72892
Development,61786,Lucien,Byoun,M,1952-03-20,9.5534,59032
Marketing,61788,Frederique,Matzke,M,1952-10-21,12.1644,70254
Research,61789,Ramachenga,Straney,M,1954-04-23,12.4548,58615
Development,61790,Visit,Lindenbaum,M,1953-01-12,14.4027,133494
Development,61798,Vitali,Krider,M,1952-08-14,11.6740,60076
Sales,61805,Faiza,Gurbaxani,F,1954-02-09,12.8466,87269
Production,61809,Percy,Mukaidono,M,1956-08-13,15.6575,134218
"Human Resources",61810,Murthy,Collavizza,M,1956-03-04,12.5315,62899
Development,61814,Breannda,Panangaden,M,1954-04-03,9.0822,57674
"Customer Service",61823,Moti,Flasterstein,M,1952-02-13,9.0658,54031
Development,61825,Mayuri,Harnett,M,1952-04-18,10.3342,45668
Sales,61827,Tsuneo,Guerreiro,M,1953-03-24,11.5315,88358
Development,61828,Etsuo,Hofstetter,F,1952-07-06,10.9671,41694
"Human Resources",61831,Feixiong,Guardalben,M,1956-01-31,14.2247,78736
Production,61834,Shahar,Parascandalo,M,1952-03-20,11.5589,62233
Sales,61843,Guenter,Millington,M,1954-04-20,12.1781,69600
Development,61846,Danil,Varley,M,1953-11-12,12.8164,63200
Production,61856,Toney,Luby,F,1953-10-07,14.8192,68406
Production,61857,Zhonghua,Ozeri,F,1956-09-01,12.6027,51554
Production,61859,Xiping,Schwaller,F,1955-09-28,13.5616,130490
"Human Resources",61862,Tremaine,Dulay,M,1953-08-28,13.5863,73659
Production,61863,Kamakshi,Boyle,F,1956-08-26,11.3370,50728
Marketing,61864,Hironoby,Kamber,M,1953-08-13,14.7945,80220
Production,61869,Manu,Hemaspaandra,F,1952-12-03,15.6055,130610
"Customer Service",61871,Nidapan,Falco,M,1953-09-15,10.1397,56568
Development,61879,Saniya,Steinauer,M,1955-03-04,14.0329,73633
Research,61883,Moto,Fetvedt,M,1955-07-18,11.4493,56459
Development,61892,Kwangho,Gecseg,F,1952-08-12,11.9479,48432
Production,61897,Jasminko,Kilgour,F,1952-06-22,13.7233,70686
Development,61902,Zhenhua,Heydon,F,1956-03-19,10.1205,50270
Development,61910,Gay,Bahk,F,1955-01-10,15.7671,88050
"Human Resources",61915,Yongmin,Conta,M,1952-08-30,12.0795,65048
Development,61916,Roddy,Eterovic,F,1956-09-30,15.4849,85173
"Human Resources",61920,Ghassan,Albarhamtoshy,M,1952-09-16,15.7973,77551
Production,61921,Berna,Stanfel,F,1952-09-01,10.9836,56992
Development,61941,Mohammed,Joslin,M,1952-03-02,15.6384,79877
Development,61943,Gennadi,Tasistro,F,1955-07-09,13.6411,60447
Research,61945,Ingmar,Raczkowsky,M,1956-03-02,10.2192,52452
Development,61951,Marit,Streit,F,1956-06-02,10.0959,57426
Production,61957,Souichi,Rabejac,M,1956-12-19,11.0712,107724
Marketing,61962,Steve,Vecchi,M,1954-04-27,9.5726,89637
Development,61977,Larisa,Pillow,M,1954-10-24,9.7863,153100
Development,61982,Vidar,Pargas,F,1957-02-05,9.3151,60739
Marketing,61989,Yaghout,Vesna,M,1955-12-17,14.9479,90363
Production,61992,Bilhanan,Kitsuregawa,M,1953-09-16,13.1918,50399
Finance,61995,Kerryn,Stellhorn,F,1953-01-26,14.7562,197540
Development,61996,Weiru,Soloway,F,1954-05-01,9.2932,42838
Development,61997,Maja,Yurek,F,1953-03-05,12.8082,70881
Finance,61998,Ute,Lunn,F,1955-09-25,15.0000,82677
Research,62008,Sadun,Swan,M,1955-06-24,12.7151,97707
Production,62012,Yifei,Jahnichen,F,1953-11-19,12.1644,126052
Production,62025,Chirstian,Spinelli,M,1954-11-24,14.9726,52867
"Quality Management",62026,Shugo,Zuberek,M,1952-08-25,14.8630,56190
Sales,62029,Samphel,Tiemann,M,1952-05-20,11.8630,103138
Marketing,62030,Yaghout,Brodal,M,1956-10-22,10.7151,80664
Development,62042,Reinhard,Danley,M,1953-07-21,9.1342,110156
Production,62047,Jiang,Gihr,F,1956-08-11,10.5205,74719
Development,62048,Susumu,Foote,M,1956-03-29,14.6247,62413
Sales,62052,Lihong,Stassinopoulos,F,1956-03-05,15.1397,92269
Production,62054,Isaac,Basart,M,1956-07-03,15.3781,90646
Sales,62064,Odinaldo,Yetim,M,1952-11-09,9.4137,78315
Production,62069,Sugwoo,Felder,F,1952-12-04,15.5973,90905
Sales,62080,Toshimo,Birjandi,M,1954-04-26,15.6740,81167
Production,62083,King,Rissland,M,1952-12-04,14.8877,183178
Sales,62088,Youssef,Besselaar,M,1955-07-09,10.3534,59048
Development,62091,Elvia,Jeong,F,1957-01-22,12.5315,62606
Production,62092,Mari,Peris,M,1955-01-15,11.3973,153718
Production,62094,Tomoyuki,Stemann,M,1955-11-06,13.2658,88676
Development,62097,Krassimir,Klyachko,M,1954-04-25,13.4959,67544
Sales,62098,Breannda,Sommer,M,1953-10-29,14.0247,86810
Research,62101,Yonghoan,Crooks,F,1956-09-14,15.6247,55449
Development,62102,Aleksandar,Waterhouse,F,1953-09-30,10.9123,112384
"Human Resources",62103,Pranas,Reinhart,F,1954-12-04,15.2712,72011
Production,62105,Subhash,Roisin,M,1955-03-10,10.2630,84163
Finance,62107,Sakthirel,Walstra,F,1952-09-07,12.9863,96776
Development,62112,Pragnesh,Servieres,M,1953-08-13,13.8822,76730
Sales,62126,Cheong,Baja,M,1955-08-23,9.1288,91983
Finance,62127,Shuho,Cooke,F,1955-06-06,10.7288,86301
Development,62129,Hongzue,Schmittgen,M,1955-06-22,12.2411,72047
Sales,62137,Rosalyn,Baalen,F,1954-09-09,15.5233,77656
"Human Resources",62138,Dipayan,Rohrbach,M,1953-08-04,12.5918,68055
Marketing,62141,Yagil,Apsitis,M,1956-02-09,14.2959,97600
Finance,62146,Tremaine,Rodite,M,1954-02-07,11.9014,92210
Production,62155,Akemi,Basawa,F,1955-05-30,13.0795,40258
Marketing,62157,Georg,Luan,M,1953-02-05,15.6630,65260
Research,62158,Suzette,Gide,F,1954-06-03,10.7068,53959
Development,62164,Mariusz,Cusworth,M,1953-07-07,10.4055,48417
Development,62172,Alois,Schaad,M,1956-05-05,13.2521,88067
Sales,62174,Teunis,Denna,F,1955-08-27,14.8466,115135
"Quality Management",62176,Xiaopeng,Waeselynck,F,1956-02-03,13.6932,53672
Sales,62182,Nirmal,Luiz,M,1952-07-25,11.3068,105122
Sales,62190,Mana,Riexinger,M,1953-10-17,10.8685,48859
Production,62203,Slavian,Feldhoffer,F,1956-12-14,13.2384,76492
"Human Resources",62205,Vitaly,Brlek,F,1955-01-06,12.0137,54697
Production,62208,Sachio,Grandbois,M,1953-02-26,13.0548,83001
Sales,62214,Amabile,Strehl,M,1954-06-04,12.0000,177224
Development,62215,Adly,Koshino,M,1952-07-08,12.1507,77328
Development,62220,Rasiah,Gornas,M,1956-09-24,11.8822,71042
Development,62226,Renee,Kroll,F,1952-04-16,9.7562,73782
Sales,62235,Hidefumi,Lorie,M,1952-12-30,11.8685,86086
"Quality Management",62236,Aiman,Georg,F,1955-04-07,13.7479,49600
Production,62237,Otilia,Bain,M,1954-03-31,10.2247,110274
Development,62243,Juichirou,Fargier,M,1955-11-27,13.2082,65345
Development,62246,Kwangyoen,Rassart,M,1954-01-30,11.7726,50748
Finance,62248,Amstein,Matteis,M,1954-12-25,11.3726,69363
Development,62251,Rayond,Vingron,M,1955-08-21,15.5233,63792
Production,62252,Mohd,Waymire,F,1952-03-28,13.8548,67995
Marketing,62258,Xudong,Narahari,M,1953-09-01,10.9836,54149
Research,62262,Adam,Kemmerer,F,1956-09-05,15.1068,64632
Finance,62271,Moon,Baby,M,1954-07-21,10.4521,85692
Development,62283,Gina,Attimonelli,M,1957-01-24,11.1644,53694
"Quality Management",62285,Chinho,Plessier,M,1954-07-11,12.1151,62591
Marketing,62294,Jeanne,Bratsberg,M,1955-05-06,12.7315,78475
Sales,62298,Quingbo,Yetto,M,1955-11-16,14.8548,73764
Development,62304,Kersti,Rusmann,M,1952-11-15,15.5096,187620
Finance,62312,Duro,Luks,M,1956-01-31,12.7397,68415
Research,62314,Pranjal,Farris,F,1956-06-27,9.4110,44878
Production,62316,Georg,Terkki,M,1956-10-15,12.5370,98815
Marketing,62320,Hironoby,Billawala,F,1955-04-03,10.1123,97501
"Human Resources",62321,Kristine,Kroha,M,1955-09-28,15.0959,64178
Sales,62323,Sajjad,Bardell,M,1955-07-14,11.1808,78335
Production,62325,Nitsan,Cummings,F,1953-10-18,12.5260,121348
Sales,62330,Mokhtar,Clemencon,M,1956-02-13,15.7151,98455
Development,62332,Khatoun,Birsak,M,1955-11-02,10.6411,53727
Development,62336,Kazunori,Vieth,M,1952-12-31,13.5315,73158
Production,62343,Kazuhide,Ciolek,M,1952-10-09,9.1288,62508
"Human Resources",62348,Aria,Gyorkos,F,1956-05-29,15.4411,60888
"Customer Service",62350,Xiaocheng,Erde,M,1955-06-11,12.8822,71987
Marketing,62351,Yuchang,Osgood,M,1955-05-29,14.1562,92031
Development,62354,Jagoda,Lanzelotte,M,1956-10-10,12.3562,129250
Production,62355,Vugranam,Compeau,M,1952-07-30,11.3041,73120
Production,62357,Huei,Legleitner,M,1954-05-09,12.4904,84199
Development,62358,Nahla,Harbusch,M,1956-12-23,10.8493,81232
Production,62365,Garnet,Benzaken,F,1956-03-14,14.6986,64627
Development,62374,Ortrud,Oppitz,M,1954-01-29,13.3178,56329
Development,62376,Mayuri,Beutelspacher,F,1956-01-17,12.0767,71357
Development,62381,Fay,Pfau,M,1955-12-13,12.5781,60495
Development,62382,Padma,Edelhoff,F,1952-09-19,13.2877,71893
Development,62383,Khatoun,Rodier,M,1955-08-04,13.1041,145356
Development,62387,Toney,Frolund,M,1952-09-02,13.9836,51562
Production,62407,Stella,Oxenboll,M,1953-08-10,13.1370,85648
Development,62412,Khosrow,Hennebert,F,1952-07-31,12.0164,64601
Production,62413,Elvia,Peak,M,1954-05-11,10.1342,74009
Marketing,62416,Xinglin,Michaeli,F,1957-01-28,13.6521,83563
Marketing,62421,Persi,Brodie,F,1955-07-08,11.2027,176930
Development,62427,Bedrich,Kamber,M,1952-04-03,14.7096,53759
Development,62428,Guadalupe,Lortz,F,1954-06-30,15.6356,87459
"Quality Management",62433,IEEE,McFarlin,M,1955-02-26,14.4192,46720
Production,62437,Manohar,Takkinen,M,1953-08-18,12.3151,76167
Production,62443,Conrado,Pluym,M,1954-08-15,14.9397,74594
Marketing,62449,Jixiang,Angelov,F,1955-11-07,13.0301,183100
Development,62457,Lein,Petersohn,M,1956-02-06,9.5589,64031
Production,62459,Francoise,Shobatake,F,1955-04-08,15.7205,166194
Production,62466,Constantino,Lorys,M,1956-10-11,10.2192,64222
Sales,62472,Renee,Buescher,M,1954-06-03,14.5452,58284
"Quality Management",62474,Feixiong,Monkewich,F,1956-11-17,15.3507,81516
Sales,62476,Yahiko,Cooke,F,1952-07-30,13.0685,108565
Production,62478,Kousuke,Markovitch,F,1953-11-16,12.3342,52160
Development,62480,Bedrich,Stemann,M,1955-05-22,15.0055,164438
Production,62481,Gererd,Norsworthy,M,1953-09-25,14.7151,79185
Marketing,62489,Fox,Erol,M,1952-09-12,10.6986,156104
Production,62496,Kien,Hempstead,M,1952-06-01,12.0521,64111
Development,62497,Yifei,Sinitsyn,F,1955-12-19,13.6959,68806
Sales,62498,Prodip,Norsworthy,F,1952-10-07,10.6493,156642
Production,62507,Otmar,Mullainathan,M,1953-06-03,12.7863,73045
Production,62510,Genki,Sanella,F,1956-07-01,13.6986,66181
Production,62513,Gil,Bojadziev,F,1954-04-01,14.7151,60005
"Quality Management",62514,Zengping,Dratva,M,1955-06-23,10.7096,53872
Finance,62521,Indrajit,Krohm,M,1956-02-14,15.4822,84614
Production,62526,Tokuyasu,Bail,M,1956-07-11,15.5781,70118
Production,62529,Piyush,Miyakawa,M,1954-01-06,14.4247,58237
Development,62534,Yongqiao,Ananiadou,M,1956-05-13,11.1890,92076
Production,62542,Isamu,Rettelbach,M,1953-08-16,9.7589,43209
Sales,62544,Kazuhira,Serdy,F,1954-11-26,15.4247,107076
"Quality Management",62545,Chiranjit,Pleszkun,M,1954-06-05,12.9370,46387
